Matrix, Rows, Columns, Nnz, Transpose (ms), Taco Transpose (ms), Taco (ms), Fused(Ours) (ms)
bcsstk17.mtx, 10974, 10974, 428650, 1.505375, 54.52, 1.005, 2.422
scircuit.mtx, 170998, 170998, 958936, 6.675959, 138.365, 2.576, 7.188
mac_econ_fwd500.mtx, 206500, 206500, 1273389, 4.163742, 183.146, 2.554, 6.355
majorbasis.mtx, 160000, 160000, 1750416, 6.476402, 237.867, 3.816, 4.907
Lin.mtx, 256000, 256000, 1766400, 5.675077, 231.9, 3.588, 4.09
rma10.mtx, 46835, 46835, 2374001, 7.673025, 341.676, 5.43, 22.794
cop20k_A.mtx, 121192, 121192, 2624331, 9.653091, 409.85, 6.065, 33.594
webbase-1M.mtx, 1000005, 1000005, 3105536, 14.850855, 464.161, 6.552, 36.629
cant.mtx, 62451, 62451, 4007383, 11.302471, 561.428, 9.302, 34.196
pdb1HYS.mtx, 36417, 36417, 4344765, 14.871120, 679.179, 9.978, 59.82
ecology1.mtx, 1000000, 1000000, 4996000, 13.454914, 716.844, 9.592, 8.808
largebasis.mtx, 440020, 440020, 5560100, 15.266180, 846.259, 12.098, 15.065
consph.mtx, 83334, 83334, 6010480, 22.418022, 902.063, 13.424, 53.278
shipsec1.mtx, 140874, 140874, 7813404, 23.424625, 1151.82, 17.587, 54.755
atmosmodd.mtx, 1270432, 1270432, 8814880, 28.255701, 1362.24, 17.822, 21.188
pwtk.mtx, 217918, 217918, 11634424, 34.653187, 1816.85, 26.219, 58.98
circuit5M.mtx, 5558326, 5558326, 59524291, 200.145721, 9417.22, 125.38, 848.041
