Matrix, Taco Transpose (ms), Taco (ms), Fused(Ours) (ms)
bcsstk17.mtx, 85.961, 2.657, 6.398
scircuit.mtx, 206.238, 6.578, 18.001
mac_econ_fwd500.mtx, 279.416, 6.403, 8.853
majorbasis.mtx, 361.73, 9.784, 13.562
Lin.mtx, 365.452, 7.828, 16.751
rma10.mtx, 517.473, 25.09, 51.184
cop20k_A.mtx, 620.767, 26.529, 78.445
webbase-1M.mtx, 672.302, 17.844, 28.392
cant.mtx, 832.748, 35.119, 72.942
pdb1HYS.mtx, 996.137, 38.743, 113.616
ecology1.mtx, 1081.04, 44.333, 46.335
largebasis.mtx, 1260.35, 48.867, 61.683
consph.mtx, 1351.15, 51.457, 95.723
shipsec1.mtx, 1738.63, 66.739, 127.898
atmosmodd.mtx, 2061.42, 75.5, 85.872
pwtk.mtx, 2778.44, 100.024, 172.489

