Matrix, Taco Transpose (ms), Taco (ms), Fused(Ours) (ms)
bcsstk17.mtx, 83.393, 1.8, 3.84
scircuit.mtx, 202.646, 2.978, 11.233
mac_econ_fwd500.mtx, 275.459, 5.429, 7.572
majorbasis.mtx, 364.454, 5.733, 7.575
Lin.mtx, 352.488, 8.125, 6.456
rma10.mtx, 502.469, 6.873, 32.006
cop20k_A.mtx, 613.348, 7.369, 54.481
webbase-1M.mtx, 683.683, 10.523, 17.61
cant.mtx, 837.43, 11.215, 46.679
pdb1HYS.mtx, 1030.14, 12.35, 78.757
ecology1.mtx, 1120.14, 11.493, 13.927
largebasis.mtx, 1309.42, 14.317, 25.578
consph.mtx, 1342.64, 16.699, 56.482
shipsec1.mtx, 1751.53, 21.992, 79.247
atmosmodd.mtx, 2106.13, 21.203, 32.529
pwtk.mtx, 2698.67, 32.034, 102.98

