Matrix, Taco Transpose (ms), Taco (ms), Fused(Ours) (ms)
bcsstk17.mtx, 83.44, 2.652, 6.348
scircuit.mtx, 203.926, 6.513, 17.95
mac_econ_fwd500.mtx, 274.459, 8.764, 8.899
majorbasis.mtx, 354.851, 9.659, 13.369
Lin.mtx, 347.909, 7.762, 16.58
rma10.mtx, 512.63, 25.054, 51.283
cop20k_A.mtx, 623.339, 27.353, 78.701
webbase-1M.mtx, 691.854, 17.837, 28.238
cant.mtx, 847.709, 36.521, 79.5
pdb1HYS.mtx, 991.472, 40.333, 113.842
ecology1.mtx, 1087.3, 46.337, 47.891
largebasis.mtx, 1260.14, 50.337, 62.03
consph.mtx, 1340.82, 53.26, 98.396
shipsec1.mtx, 1721.76, 66.015, 142.007
atmosmodd.mtx, 2067.82, 73.83, 89.066
pwtk.mtx, 2736, 96.299, 168.642

