Matrix, Taco Transpose (ms), Taco (ms), Fused(Ours) (ms)
bcsstk17.mtx, 302.327, 2.519, 6.421
scircuit.mtx, 690.439, 6.262, 16.452
mac_econ_fwd500.mtx, 928.423, 6.006, 11.179
majorbasis.mtx, 1242.75, 9.386, 13.555
Lin.mtx, 1259.96, 7.599, 11.19
rma10.mtx, 1676.29, 23.498, 57.112
cop20k_A.mtx, 1894, 25.713, 82.05
webbase-1M.mtx, 2264.86, 17.423, 43.621
cant.mtx, 2890.37, 34.379, 76.172
pdb1HYS.mtx, 3257.15, 37.98, 129.055
ecology1.mtx, 3536.41, 42.776, 49.854
largebasis.mtx, 4130.76, 47.385, 64.837
consph.mtx, 4389.86, 49.902, 101.67
shipsec1.mtx, 5482.02, 64.924, 138.967
atmosmodd.mtx, 6533.42, 71.199, 93.34
pwtk.mtx, 8251.78, 95.685, 180.335

