Matrix, Taco Transpose (ms), Taco (ms), Fused(Ours) (ms)
bcsstk17.mtx, 83.941, 1.809, 3.672
scircuit.mtx, 196.561, 3.004, 11.172
mac_econ_fwd500.mtx, 264.349, 7.601, 7.375
majorbasis.mtx, 344.173, 10.945, 7.56
Lin.mtx, 346.059, 4.314, 6.418
rma10.mtx, 496.158, 6.829, 31.296
cop20k_A.mtx, 590.568, 7.316, 53.791
webbase-1M.mtx, 666.672, 10.406, 17.347
cant.mtx, 814.854, 11.195, 45.676
pdb1HYS.mtx, 978.725, 12.368, 74.449
ecology1.mtx, 1057.94, 11.438, 13.899
largebasis.mtx, 1253.61, 14.3, 25.705
consph.mtx, 1306.43, 16.619, 55.644
shipsec1.mtx, 1684.5, 21.852, 76.525
atmosmodd.mtx, 2043.92, 21.133, 32.415
pwtk.mtx, 2638.64, 32.013, 101.654

