Matrix, M, N, nnz, Transpose (ms)
bcsstk17.mtx, 10974, 10974, 428650, 1.127958
scircuit.mtx, 170998, 170998, 958936, 3.960609
mac_econ_fwd500.mtx, 206500, 206500, 1273389, 4.696846
majorbasis.mtx, 160000, 160000, 1750416, 4.323959
Lin.mtx, 256000, 256000, 1766400, 4.202843
rma10.mtx, 46835, 46835, 2374001, 9.105682
cop20k_A.mtx, 121192, 121192, 2624331, 15.485048
webbase-1M.mtx, 1000005, 1000005, 3105536, 14.744043
cant.mtx, 62451, 62451, 4007383, 13.250113
pdb1HYS.mtx, 36417, 36417, 4344765, 15.770435
ecology1.mtx, 1000000, 1000000, 4996000, 12.537003
largebasis.mtx, 440020, 440020, 5560100, 18.509865
consph.mtx, 83334, 83334, 6010480, 23.298740
shipsec1.mtx, 140874, 140874, 7813404, 25.326729
atmosmodd.mtx, 1270432, 1270432, 8814880, 34.929752
pwtk.mtx, 217918, 217918, 11634424, 41.804075

